english	jl	gjl	human	mass	animals	time	deriv	disyllabic
theghost2	spoeke	n	not	not	not	not	not	e
theschool	skoLe	f	not	not	not	not	not	e
themind	sinne	n	not	not	not	not	not	e
theseat	sete	n	not	not	not	not	not	e
thescab	saaurskorspe	f	not	not	not	not	not	e
theeye	oeuge	n	not	not	not	not	not	e
theear	oere	n	not	not	not	not	not	e
theclub	kLaabbe	f	not	not	not	not	not	e
theheart	hjaerte	n	not	not	not	not	not	e
theditch	dikje	n	not	not	not	not	not	e
thewhetstone1	bryne	n	not	not	not	not	not	e
theboard	bree	n	not	not	not	not	not	e
thebait	beite	n	not	not	not	not	not	e
thebelt	baelhte	n	not	not	not	not	not	e
theprinting	trykkeri	n	not	not	not	not	eri	not
thedairy	mejeri	n	not	not	not	not	eri	not
thelottery	lotteri	n	not	not	not	not	eri	not
thebattery	batteri	n	not	not	not	not	eri	not
thebakery	bageri	n	not	not	not	not	eri	not
theprison	fengels	n	not	not	not	not	els	not
thecompany	saellskap	n	not	not	not	not	skap	not
thecountry	lannskap	n	not	not	not	not	skap	not
theday	dygn	n	not	not	not	time	not	not
theyear	aaur	n	not	not	not	time	not	not
thedeer1	raadjur	n	not	not	animal	not	not	not
thesandflyormidgeorgnat2	my	f	not	not	animal	not	not	not
thelouse	lus	f	not	not	animal	not	not	not
thelamb1	lamm	n	not	not	animal	not	not	not
theanimal	djur	n	not	not	animal	not	not	not
thebee1	bi	n	not	not	animal	not	not	not
thehut	stugu	f	not	not	not	not	not	u
themistake1	misslaapu	f	not	not	not	not	not	u
thechin	haaku	f	not	not	not	not	not	u
theroad	gatu,gate	f	not	not	not	not	not	u
thefly	fLaagu	f	not	not	not	not	not	u
thefire2	braasu	f	not	not	not	not	not	u
theauction	aktion	m	not	not	not	not	ion	not
theafternoon1	afta	m	not	not	not	time	not	a
theweek	vaakku	f	not	not	not	time	not	u
thenight	natt	f	not	not	not	time	not	not
theduck2	anke	f	not	not	animal	not	not	e
themouseorrat	mus	f	not	not	animal	not	not	not
thekangaroo	kaenguru	f	not	not	animal	not	not	not
thegoat	jeit	f	not	not	animal	not	not	not
theduck1	ann	f	not	not	animal	not	not	not
thescorpion	skorpion	m	not	not	animal	not	ion	not
thetail2	spela	m	not	not	not	not	not	a
theladder	sjaega	f	not	not	not	not	not	a
themouth1	shlapra	f	not	not	not	not	not	a
thesledgesled1	shlaea	m	not	not	not	not	not	a
thespine	ryggra	f	not	not	not	not	not	a
thepalmofthehand3	naeva	m	not	not	not	not	not	a
thenose	naasa	m	not	not	not	not	not	a
thebelly	maega	m	not	not	not	not	not	a
thecarcass2	levda	f	not	not	not	not	not	a
thecollar	kraega	m	not	not	not	not	not	a
thelock	knaepa	f	not	not	not	not	not	a
thebunch4	kLasa	m	not	not	not	not	not	a
thepart2	kLaava	m	not	not	not	not	not	a
thecoat1	kappa	f	not	not	not	not	not	a
thelatchordoor-bolt3	haeka	m	not	not	not	not	not	a
thepasture1	haega	m	not	not	not	not	not	a
theraft	fLaata	m	not	not	not	not	not	a
the_bow/arch	baaga	m	not	not	not	not	not	a
theelbow	armbaaga	m	not	not	not	not	not	a
thework2	anna	f	not	not	not	not	not	a
thebay2	aeva	m	not	not	not	not	not	a
thewebpage	webbsie	f	not	not	not	not	not	e
thecustom2	vane	f	not	not	not	not	not	e
thesnowshoe1	tryge	f	not	not	not	not	not	e
thedrum	traamme	f	not	not	not	not	not	e
thetongue	tonge	f	not	not	not	not	not	e
themushroom1	tjuke	f	not	not	not	not	not	e
thetelevision	teve	m	not	not	not	not	not	e
thematch	taennstikke	f	not	not	not	not	not	e
thetabletcomputer	surfpLatte	f	not	not	not	not	not	e
thepig2	sugge	f	not	not	not	not	not	e
thefig	storfike	f	not	not	not	not	not	e
thestar	stjaerne	f	not	not	not	not	not	e
thetreestump	staabbe	m	not	not	not	not	not	e
theinjection	sprute	f	not	not	not	not	not	e
theshell	snaekke	f	not	not	not	not	not	e
thespindle	slaenne	f	not	not	not	not	not	e
theshadeorshadow	skugge	f	not	not	not	not	not	e
theshirt	skjorte	f	not	not	not	not	not	e
therattle	skallre	f	not	not	not	not	not	e
theskull	skaalle	m	not	not	not	not	not	e
thedisease	sjuke	f	not	not	not	not	not	e
theveil	shloeje	f	not	not	not	not	not	e
thesinewortendon	seine	f	not	not	not	not	not	e
thetendon	schaue	f	not	not	not	not	not	e
thecartilage	schalle	f	not	not	not	not	not	e
thetail1buttocks1	raampe	f	not	not	not	not	not	e
thepumpkinorsquash	pumpe	f	not	not	not	not	not	e
thepipe	pipe	f	not	not	not	not	not	e
thepeg3	pinne	m	not	not	not	not	not	e
thepotato	pere	f	not	not	not	not	not	e
thepen	penne	f	not	not	not	not	not	e
thepan	panne	f	not	not	not	not	not	e
thebead	paerle	f	not	not	not	not	not	e
theearring	oerhaenge	n	not	not	not	not	not	e
thekidney	nure	m	not	not	not	not	not	e
theneck	nakke	m	not	not	not	not	not	e
theanthill	moeurtuve	f	not	not	not	not	not	e
thehatorcap3	moesse	f	not	not	not	not	not	e
thespleen	mjaelhte	m	not	not	not	not	not	e
thewaist	meje	f	not	not	not	not	not	e
thematrug	matte	f	not	not	not	not	not	e
themarket	marsne	m	not	not	not	not	not	e
thehatorcap1	luve	f	not	not	not	not	not	e
thedoor2	luke	f	not	not	not	not	not	e
thelung	longe	f	not	not	not	not	not	e
thewhetstone3	ljaaustikke	f	not	not	not	not	not	e
thebroom	lime	m	not	not	not	not	not	e
thesickleorscythe2	ljaau,lie	m	not	not	not	not	not	e
thelamportorch1	lampe	f	not	not	not	not	not	e
thefield1	laegde	f	not	not	not	not	not	e
theflame	laage	f	not	not	not	not	not	e
theshoulder1	kryppe	f	not	not	not	not	not	e
therake2	kratte	f	not	not	not	not	not	e
thechurch	koerse	f	not	not	not	not	not	e
thecliff	kLippe	f	not	not	not	not	not	e
thechain	kjejje	f	not	not	not	not	not	e
thejaw	kjeike	m	not	not	not	not	not	e
thejugpitcher	kanne	f	not	not	not	not	not	e
theshelf	hylle	f	not	not	not	not	not	e
theforehead	huupanne	f	not	not	not	not	not	e
thebrain	hjaerne	f	not	not	not	not	not	e
thewitch1	hekse	f	not	not	not	not	not	e
therake1	harve	f	not	not	not	not	not	e
thepalmofthehand1	hannfLate	f	not	not	not	not	not	e
thehalf	haLve	f	not	not	not	not	not	e
thehoe	hakke	f	not	not	not	not	not	e
thenecklace2	haerskjejje	f	not	not	not	not	not	e
thehammock	haengmatte	f	not	not	not	not	not	e
theplaitbraid1	haaurhenne	f	not	not	not	not	not	e
thepot	gryte	f	not	not	not	not	not	e
thecave	grotte	f	not	not	not	not	not	e
themouth3	gipe	f	not	not	not	not	not	e
theplaitbraid2	fLette	f	not	not	not	not	not	e
thebottle	fLaske	f	not	not	not	not	not	e
thepocket	fikke	f	not	not	not	not	not	e
thecandysweets	fike	f	not	not	not	not	not	e
thebasket4	feshle	f	not	not	not	not	not	e
thefin	fene	f	not	not	not	not	not	e
thedanger2	faere	f	not	not	not	not	not	e
thetrap1	faelle	f	not	not	not	not	not	e
thefurrow	faaure	f	not	not	not	not	not	e
themolartooth	ekkshle	f	not	not	not	not	not	e
thegrape	druve	f	not	not	not	not	not	e
thenippleorteat	broestvaarte	f	not	not	not	not	not	e
thenettle	braennesshle	f	not	not	not	not	not	e
thebrush2	borste	m	not	not	not	not	not	e
theboil	borrde	m	not	not	not	not	not	e
thebean	boene	f	not	not	not	not	not	e
thetrousers2	boekse	f	not	not	not	not	not	e
theflower	bLomme	f	not	not	not	not	not	e
theblister	bLaause	f	not	not	not	not	not	e
thebruise	bLaauke	m	not	not	not	not	not	e
